Title,Content,newsType,time
Ailing newspapers abandon newsrooms as pandemic deepens woes,NEW YORK: The buzzing newsroom has long been the lifeblood of American newspapers. But in recent months the buzz has become virtual as the pandemic deepens the industry crisis and forces journalists to work remotely.,BUSINESS,13 Dec 2020
Pandemic fails to dampen holiday revelry,"KANCHANABURI: Tourists have flocked to Sangkhla Buri district for the long holiday weekend, with hotels and resorts fully booked until New Year amid measures to contain the spread of Covid-19.",BUSINESS,13 Dec 2020
Smoother steps sought for senior visitors,Operators suggest a more streamlined process for the government-sponsored tourism package for senior travellers aged over 55.,BUSINESS,12 Dec 2020
Thai Credit Guarantee Corporation has key role in SME funding,"Loan guarantees by a government agency are key in allowing small and medium-sized enterprises (SMEs) better access to funding sources amid higher risks caused by the pandemic, says the Bank of Thailand.",BUSINESS,12 Dec 2020
"Waste-to-energy projects see official support, villager resistance",A plan to call for bids for new waste-to-energy (WTE) projects next year is giving hope to local officials worried about the growing volume of garbage in their neighbourhoods.,BUSINESS,12 Dec 2020
Pandemic hits event marketing revenue,Thailand's event marketing business is expected to lose 5.6 billion baht worth of revenue in 2020 thanks to the Covid-19 pandemic.,BUSINESS,12 Dec 2020
Covid-19 Vaccine Candidate Scrapped After False Positives on HIV Tests,"A Covid-19 vaccine candidate in Australia has been scrapped because recipients returned false positives on certain HIV tests, underscoring the difficulties scientists face in rapidly developing an inoculation for the coronavirus.",BUSINESS,12 Dec 2020
Facebook Lawsuits Take Aim at Data-Sharing Tool Key to Digital Economy,Dueling antitrust lawsuits against Facebook Inc. highlighted the social-media giant's acquisitions of photo-sharing platform Instagram and messaging service WhatsApp.,BUSINESS,12 Dec 2020
BECIS-Symbior secures UOB green loan,Solar power firm BECIS-Symbior has secured a 1.26-billion-baht green project finance loan from UOB Thailand to finance its portfolio of on-site solar photovoltaic (PV) projects.,BUSINESS,12 Dec 2020
SET poised to finish year on a higher note,"November was a particularly interesting month in an already interesting year for the local equity market. To recap, in the wake of the initial Covid-19 outbreak, the SET weakened to below 1,000 points in March before bouncing back to its peak at 1,455 in June. The index declined steadily to between 1,200 and 1,300 in the months thereafter, closing out October at 1,194.95.",BUSINESS,12 Dec 2020
Strategy readjustments spur TCMC's Q3 profits,"TCM Corporation Plc (TCMC), a leading rug and carpet manufacturer, says cost control measures and an easing of lockdown rules in the UK helped it earn a profit of 108 million baht in this year's third quarter.",BUSINESS,12 Dec 2020
BoI spots opportunities amid disruption,"The pandemic has given rise to greater investment opportunity for Thailand in medical services, wellness and high technology.",BUSINESS,12 Dec 2020
IRC tyre producer has faith in buyers,"A sharp drop in revenue during the pandemic was common among car and auto parts makers, but Inoue Rubber Thailand, a motorcycle tyre manufacturer operating under the IRC brand, remains upbeat.",BUSINESS,12 Dec 2020
TQM continues with aggressive growth strategy,"TQM Corporation takes pride in always being prepared, which has paid off during the pandemic.",BUSINESS,12 Dec 2020
Brexit hopes dim as Johnson says failure 'very likely',"A Brexit trade deal between Britain and the European Union looked to be hanging in the balance, after leaders on both sides of the Channel gave a gloomy assessment of progress in last-gasp talks.",BUSINESS,11 Dec 2020
The cost of failure: What’s at stake if Brexit talks fail,"With Sunday looming as the do-or-die deadline for the UK and EU to reach a trade deal, the stark reality of Brexit is starting to send businesses and consumers into a panic.",BUSINESS,11 Dec 2020
Tesla to launch supercharger station in China's Greater Bay Area,American car maker Tesla is launching its first supercharger station in the city of Zhongshan with the hope of attracting a growing number of electric vehicle (EV) drivers in the Greater Bay Area development zone.,BUSINESS,11 Dec 2020
Hong Kong Airlines to cut 250 flight attendants,Hong Kong Airlines will cut 250 flight attendants in the latest round of coronavirus-related redundancies to hit the carrier and the local aviation sector.,BUSINESS,11 Dec 2020
Mobile providers try sustainability,"As Millennial customers and investors become more environmentally conscious, mobile industry players must be careful with the materials they use in phones, including supporting proper e-waste disposal.",BUSINESS,11 Dec 2020
Excise eyes levy rejig to promote EVs,"The Excise Department is studying a restructuring of the entire vehicle excise tax, as it wants to gear measures to facilitate the use of electric vehicles (EVs) and reduce fossil fuel use in Thailand.",BUSINESS,11 Dec 2020
Recovery signs visible for Impact Exhibition Management,"Impact Exhibition Management predicts it will be another two years before its revenue can exceed its 2019 performance by 10%, despite some signs of recovery in the exhibition business this year.",BUSINESS,11 Dec 2020
Covid-19 micro-plan for holidays,"The Office of the Insurance Commission (OIC) has partnered with insurance firms to launch a ""new normal plus protection for accidents and Covid-19"" plan as a micro-product for those concerned about risks related to the pandemic.",BUSINESS,11 Dec 2020
Bug spread delays Thai Airways flight reboot plan,"Thai Airways International (THAI) has delayed resuming domestic flights to Chiang Mai and Phuket from Dec 25 to Jan 1, the airline announced on Twitter.",BUSINESS,11 Dec 2020
Developers urged to revise space usage,"Residential developers and office landlords should revise space design and use because there has been an abrupt shift in behaviour towards work among homebuyers and office tenants, says a property portal.",BUSINESS,11 Dec 2020
Smartphone sales dip 7.6%,"Local smartphone sales fell 7.6% year-on-year to 4.7 million units in the third quarter, in line with a crucial drop in the global market, pressured by economic woes and concerns about the next wave of the pandemic, says global research and advisory firm Gartner.",BUSINESS,11 Dec 2020
Firms predict global equities lead,"Global equities are projected to offer the highest returns among asset classes next year, especially in Asia and China, thanks to a relatively swifter economic recovery, say TMB Eastspring Asset Management (TMB ES) and Thanachart Eastspring Fund Management (Thanachart ES), two subsidiary asset management firms under Eastspring Investment.",BUSINESS,11 Dec 2020
Airlines Do Away With International Change Fees,"Major airlines are doing away with hefty fees to change international flights, as the carriers prepare to try to lure back globe-trotters next year.",BUSINESS,11 Dec 2020
Musk Decries 'M.B.A.-ization' of America,What is wrong with American corporations? Elon Musk says too many M.B.A.s. are polluting companies' ability to think creatively and give customers what they really want.,BUSINESS,11 Dec 2020
GSB sets aside capital reserves worth B12.4bn,Government Savings Bank (GSB) plans to set aside capital reserves worth 12.4 billion baht to beef up its financial strength against rising bad loan prospects.,BUSINESS,11 Dec 2020
"NT board named by year-end, says DES Ministry","The Digital Economy and Society (DES) Ministry says the board of National Telecom (NT) should be appointed by the end of this year, as it needs to prepare for the official launch of the company on Jan 7.",BUSINESS,11 Dec 2020
China policy status quo,"Despite a renewed emphasis on improving relations with traditional allies in Asia, US policy towards China is unlikely to change dramatically under President-elect Joe Biden's administration, according to a new report by Moody's Investors Service.",BUSINESS,11 Dec 2020
Central bank discounts AMC option,"The idea of setting up a national asset management company (AMC) is not needed as the current scale of non-performing loans (NPLs) can be managed with debt assistance measures on a case-by-case basis, says the Bank of Thailand.",BUSINESS,11 Dec 2020
TIC targets online sales growth over three years,"Thai Insurance (TIC), a non-life insurance business of Thai Group Holdings, set a target to grow its online insurance sales by 2.5 times in the next three years, driven by three strategies -- transform, innovate and expand -- says Mahatana Ampornpisit, the company's managing director.",BUSINESS,11 Dec 2020
CG eyes B1bn land sales in CPGC estate in 2021,"CG Corporation Ltd, a joint venture between CP Land and China's Guangxi Construction Engineering Group, expects to close land sales of 240 rai worth around 1 billion baht in the CPGC Industrial Estate in Rayong by the second half of next year.",BUSINESS,11 Dec 2020
Tetra Pak pushes for more transparency,Tetra Pak Thailand is urging its peers in the food processing and packaging industry to be more transparent as consumers are concerned about food safety in the wake of the pandemic.,BUSINESS,11 Dec 2020
EU leaders save landmark budget as Brexit looms,"BRUSSELS: EU leaders on Thursday resolved a bitter dispute with Poland and Hungary and salvaged the bloc's landmark post-coronavirus recovery plan, as the threat of an imminent no-deal Brexit loomed large.",BUSINESS,11 Dec 2020
KBank pledges to retain headcount,"Kasikornbank (KBank) plans to maintain its number of brick-and-mortar branches nationwide at 873 and its staffing levels at 19,990 for next year.",BUSINESS,10 Dec 2020
IEAT puts off industrial operation fees for factories again,The Industrial Estate Authority of Thailand (IEAT) is extending relief measures to help factories nationwide survive the pandemic by exempting them from paying industrial operation fees worth 12 million baht for another six months.,BUSINESS,10 Dec 2020
Chevron allots $200m for expansion plan,"Chevron Thailand, a major oil retailer operating under the Caltex brand, allocated US$200 million in capital spending to expand its businesses from 2019 to 2021.",BUSINESS,10 Dec 2020
IMC outlines essential technology trends,"Businesses need to gear up for the adoption of big data, artificial intelligence (AI) and customer-centric strategies as well as IT architecture plans in order to survive and thrive in the era of digital disruption and the pandemic impact, says research and tech training provider IMC Institute.",BUSINESS,10 Dec 2020
SEC enlists tech for probes,The Securities and Exchange Commission plans to use artificial intelligence and big data analytics to investigate false accounting information next year.,BUSINESS,10 Dec 2020
FTI foresees local and global recovery,The Federation of Thai Industries believes Thai tourism may recover as soon as the third quarter next year as a result of the improving global economy.,BUSINESS,10 Dec 2020
Baht set to rise until end of 2021,The baht's appreciation is poised to continue until year-end 2021 as a result of the weaker US dollar and Thailand's current account surplus.,BUSINESS,10 Dec 2020
Veranda plans B1bn project in Phuket,Resort and real estate development firm Veranda Resort Plc plans to launch a branded residential project in 2021 worth 1 billion baht in Phuket and introduce a co-investment renovation model aimed at struggling owners.,BUSINESS,10 Dec 2020
"Dhipaya, Cisco cover financial cyber-risks",Dhipaya Insurance has joined hands with US-based technology firm Cisco Systems to offer a cyber-insurance policy designed to cover financial losses related to cyber-attacks.,BUSINESS,10 Dec 2020
Apple Replays the Wrong Audio Track,Apple Inc.'s new headphones are at least aptly named.,BUSINESS,10 Dec 2020
Will There Be Second Stimulus Check Before End of 2020?,"While Democratic and Republican lawmakers have expressed new optimism that they will reach a coronavirus-aid deal, the current round of talks excludes a second round of stimulus checks for households. Here is the latest on the negotiations, and a look at whether checks could still be on the table.",BUSINESS,10 Dec 2020
Industrial property priorities,"The post-Covid industrial property market in Thailand will be shaped by the rapid growth of e-commerce fuelled by online retailers, increasing demand for modern logistics property spaces including data centres, and heavily promoted Eastern Economic Corridor (EEC) projects aimed at attracting foreign investment, according to the international real estate consultancy CBRE.",BUSINESS,10 Dec 2020
TSMC wants imminent sugar-cane crushing,The public relations body of the Thai Sugar Millers Corporation (TSMC) wants the government to allow factories to start sugar-cane crushing for the 2020/21 crop year as soon as this week because it expects global sugar prices to increase.,BUSINESS,10 Dec 2020
New TCT head promotes closer public-private ties,"The newly elected president of the Tourism Council of Thailand (TCT) wants to tighten the cooperation between the private sector and state agencies, helping tourism operators withstand the pandemic crisis.",BUSINESS,10 Dec 2020
MTL keeps CLMV push up as Thais age,"Muang Thai Life Assurance (MTL) is continuing its aggressive move into the Cambodia, Laos, Myanmar, Vietnam and Thailand (CLMVT) region to acquire a larger market with a more balanced demographic profile, as Thailand becomes a full-fledged ageing society in 2021, said Sara Lamsam, MTL's president.",BUSINESS,10 Dec 2020
Federation of Thai Industries foresees local and global recovery,"The Federation of Thai Industries (FTI) believes Thai tourism may recover as soon as the third quarter next year as a result of the improving global economy, driven by the development of Covid-19 vaccines.",BUSINESS,9 Dec 2020
Baht gives up gains as talk of BoT intervention swirls,"The baht reversed early gains to trade flat on Wednesday afternoon, with traders saying the Bank of Thailand (BoT) appeared to have intervened to limit the currency's appreciation, which it has repeatedly said is negative for the economy.",BUSINESS,9 Dec 2020
Uber offloads autonomous car unit,"SAN FRANCISCO: Uber Technologies Inc agreed to sell its autonomous car division to Aurora Innovation Inc in a deal that gives the ride-hailing giant a stake in the start-up developing self-driving technology, the companies said on Monday.",BUSINESS,9 Dec 2020
World's largest pig farm rises in China,"NANYANG, China: Behind the walls of a hulking industrial compound in rural China, top pig producer Muyuan Foods Co Ltd is trying to raise more hogs on a single site than any company in the world -- a risky investment with deadly African swine fever lingering.",BUSINESS,9 Dec 2020
Asian govts could require Covid vaccinations for travellers - AirAsia CEO,"KUALA LUMPUR: Governments in Asia could require inbound travellers to receive Covid-19 vaccinations, AirAsia Chief Executive Officer said on Wednesday.",BUSINESS,9 Dec 2020
Tesco says conditions satisfied for $10.6bn sale of Asia business,"Britain's biggest retailer Tesco expects to complete the $10.6 billion sale of its Asian businesses to CP Group on Dec 18, paving the way for a return of 5 billion pounds ($6.7 billion) to shareholders, it said on Wednesday.",BUSINESS,9 Dec 2020
SPACs on the rise on Wall Street and beyond,"NEW YORK - Jay-Z, Shaquille O'Neal and Martin Luther King III have been among the prominent figures to recently join Wall Street's SPAC craze.",BUSINESS,9 Dec 2020
From junk to veg: vending machines adapt to virus crisis,"ENNEVELIN (FRANCE) - With business selling chocolate bars to office workers in meltdown owing to the covid crisis, French vending machine makers have turned to experts on growth: farmers.",BUSINESS,9 Dec 2020
"Airbnb, DoorDash lead 'unicorn parade' ending hot IPO year","SAN FRANCISCO - Airbnb and DoorDash make their stock market debut this week as part of a ""unicorn parade"" capping a busy year for hot startups going public.",BUSINESS,9 Dec 2020
MTL keeps CLMV push up as Thais age,"Muang Thai Life Assurance (MTL) is continuing its aggressive move into the Cambodia, Laos, Myanmar, Vietnam and Thailand (CLMVT) region to acquire a larger market with a more balanced demographic profile, as Thailand becomes a full-fledged ageing society in 2021, said Sara Lamsam, MTL's president.",BUSINESS,10 Dec 2020
Federation of Thai Industries foresees local and global recovery,"The Federation of Thai Industries (FTI) believes Thai tourism may recover as soon as the third quarter next year as a result of the improving global economy, driven by the development of Covid-19 vaccines.",BUSINESS,9 Dec 2020
Baht gives up gains as talk of BoT intervention swirls,"The baht reversed early gains to trade flat on Wednesday afternoon, with traders saying the Bank of Thailand (BoT) appeared to have intervened to limit the currency's appreciation, which it has repeatedly said is negative for the economy.",BUSINESS,9 Dec 2020
Uber offloads autonomous car unit,"SAN FRANCISCO: Uber Technologies Inc agreed to sell its autonomous car division to Aurora Innovation Inc in a deal that gives the ride-hailing giant a stake in the start-up developing self-driving technology, the companies said on Monday.",BUSINESS,9 Dec 2020
World's largest pig farm rises in China,"NANYANG, China: Behind the walls of a hulking industrial compound in rural China, top pig producer Muyuan Foods Co Ltd is trying to raise more hogs on a single site than any company in the world -- a risky investment with deadly African swine fever lingering.",BUSINESS,9 Dec 2020
Asian govts could require Covid vaccinations for travellers - AirAsia CEO,"KUALA LUMPUR: Governments in Asia could require inbound travellers to receive Covid-19 vaccinations, AirAsia Chief Executive Officer said on Wednesday.",BUSINESS,9 Dec 2020
Tesco says conditions satisfied for $10.6bn sale of Asia business,"Britain's biggest retailer Tesco expects to complete the $10.6 billion sale of its Asian businesses to CP Group on Dec 18, paving the way for a return of 5 billion pounds ($6.7 billion) to shareholders, it said on Wednesday.",BUSINESS,9 Dec 2020
SPACs on the rise on Wall Street and beyond,"NEW YORK - Jay-Z, Shaquille O'Neal and Martin Luther King III have been among the prominent figures to recently join Wall Street's SPAC craze.",BUSINESS,9 Dec 2020
From junk to veg: vending machines adapt to virus crisis,"ENNEVELIN (FRANCE) - With business selling chocolate bars to office workers in meltdown owing to the covid crisis, French vending machine makers have turned to experts on growth: farmers.",BUSINESS,9 Dec 2020
"Airbnb, DoorDash lead 'unicorn parade' ending hot IPO year","SAN FRANCISCO - Airbnb and DoorDash make their stock market debut this week as part of a ""unicorn parade"" capping a busy year for hot startups going public.",BUSINESS,9 Dec 2020
Watchdog Finds No Wrongdoing in Kodak Deal,"A government watchdog agency found no wrongdoing in the process that created a now-halted U.S. loan to Eastman Kodak Co. to produce drug ingredients for the Covid-19 response, according to a copy of the assessment reviewed by The Wall Street Journal.",BUSINESS,9 Dec 2020
Bob Dylan Sells Entire Songwriting Catalog,Bob Dylan is tangled up in green.,BUSINESS,9 Dec 2020
Airbnb launches non-profit for crisis lodging,"SAN FRANCISCOซ Airbnb has created a non-profit aimed at helping emergency response workers find lodging in times of crisis, like now with the pandemic.",BUSINESS,9 Dec 2020
Gold bugs upbeat in short term,"Gold prices will continue to rise over the next 1-2 years, despite a short-term decline to below US$1,800 per ounce, spurred by the prospect of continuing quantitative easing (QE) by central banks to revive the global economy, says a local gold seller.",BUSINESS,9 Dec 2020
Co-payment scheme to fortify GDP,"The two phases of the co-payment scheme are projected to increase GDP by 0.32 percentage points, causing spending worth 105 billion baht to be injected into the economy.",BUSINESS,9 Dec 2020
Foreign fund flows likely to continue,"Foreign fund flows into Thai stock markets are expected to continue through next year, supported by positive global sentiment towards Joe Biden's election victory in the US and successful trials of Covid-19 vaccines, says an executive of Stock Exchange of Thailand (SET).",BUSINESS,9 Dec 2020
TNSC predicts 3-5% growth in 2021 forecast,"The Thai National Shippers' Council expects Thai exports will rebound to 3-5% growth next year, driven by the Regional Comprehensive Economic Partnership (RCEP) pact, Covid-19 vaccine progress and a fast economic recovery in China.",BUSINESS,9 Dec 2020
Egat to scale up robotics innovation,"State-run Electricity Generating Authority of Thailand (Egat) plans to scale up its development of innovations in energy and robotics for commercial purposes within five years, says assistant governor Venus Longsomboon.",BUSINESS,9 Dec 2020
AIS starts online ID checks,"Advanced Info Service (AIS), the country's biggest mobile operator by subscribers, has launched online ID self-verification service to make it more convenient for people to sign up for financial services.",BUSINESS,9 Dec 2020
Thailand now open to the whole world,"Tourists from everywhere are now welcome to visit Thailand, irrespective of their countries' Covid-19 situation, under a newly amended Special Tourist Visa long-stay programme.",BUSINESS,9 Dec 2020
TDRI urges foreign property buyer support,"To avoid an oversupply, the government should support foreign buyers purchasing residential units, says Thailand Development Research Institute (TDRI).",BUSINESS,9 Dec 2020
Domestic trips decrease over Covid jitters,A resurgence of local Covid-19 cases has affected travel sentiment for the upcoming long weekend as Thai tourists are expected to take fewer trips than during holidays last month.,BUSINESS,9 Dec 2020
Top 10 shareholders lose B141bn value,The pandemic crisis has bled the wealth of Thailand's top 10 richest shareholders by 141 billion baht.,BUSINESS,9 Dec 2020
MPC may cut rate on shaky recovery,"The Monetary Policy Committee could cut the policy rate in next year's first quarter if the economic recovery is shaky, says Kasikorn Research Center (K-Research).",BUSINESS,9 Dec 2020
Great Wall Motors affirms Thai vision,Chinese carmaker Great Wall Motors (GWM) vows to help the government make Thailand a hub for electric vehicles (EVs) in the region following recent talks with Deputy Prime Minister Supattanapong Punmeechaow and Board of Investment (BoI) executives.,BUSINESS,9 Dec 2020
JKN broadening its horizons,JKN Global Media (JKN) aims to sustain growth by transforming itself from a content provider to a commercial and entertainment company.,BUSINESS,9 Dec 2020
Jaymart touts virtual show,"Jaymart Mobile, the handset distributor arm of SET-listed Jay Mart, is introducing a virtual mobile show by the end of this year, in line with new trends where customers embrace online channels as well as mobile devices.",BUSINESS,9 Dec 2020
Facebook tracks consumer surge post-pandemic,"Consumer behaviour changes towards online channels, accelerated digital transformation and cross-border businesses are among major trends that will gain momentum next year, according to e-commerce giant Facebook.",BUSINESS,9 Dec 2020
Internet stock trading accounts increase by 22.7%,"Internet securities trading accounts increased by 553,000 or 22.7% during the first three quarters to 3.02 million accounts, driving total securities trading accounts to 3.32 million at the end of September.",BUSINESS,9 Dec 2020
Food safety takes centre stage,"Consumers have dramatically altered their shopping habits in response to Covid-19, putting pressure on retailers to adapt to changing consumption patterns, according to a survey by Emerson, a multinational technology and engineering company.",BUSINESS,9 Dec 2020
Cabinet approves long-stay visas for all,The cabinet on Tuesday resolved to offer long-stay special tourist visas (STV) to visitors from every country instead of only those with low risks of the novel coronavirus.,BUSINESS,8 Dec 2020
"Gulf CEO again richest Thai shareholder, worth B115bn","Gulf Energy Development (Gulf) chief executive Sarath Ratanavadi has been rated the richest Thai shareholder for the second year running with stock valued at 115 billion baht, 5.7 billion baht less than last year.",BUSINESS,8 Dec 2020
Fuel consumption falls 13%,"Thai fuel consumption in the first 10 months of this year contracted 13% due to the economic recession, according to the Department of Energy Business (DOEB).",BUSINESS,8 Dec 2020
Bangkok scores well in fit-out survey,"Bangkok ranked the seventh most affordable office market to fit out in Asia-Pacific at US$713 or 21,390 baht per square metre, 170% less expensive than Tokyo.",BUSINESS,8 Dec 2020
AirAsia ‘quietly optimistic’ about 2021 with focus on Asean,"AirAsia Group is focusing on expanding its base in Southeast Asia and is in discussions about starting three new airlines in the region, chief executive officer Tony Fernandes said in an interview on Bloomberg Television.",BUSINESS,8 Dec 2020
Ministries prepare marijuana tour,The Tourism and Sports and Public Health ministries are ready to launch the first medical marijuana tour in Southeast Asia next year.,BUSINESS,8 Dec 2020
Araksa adapts to constraints,Chiang Mai-based ecotourism business is rising to the pandemic's challenges.,BUSINESS,8 Dec 2020
B.Grimm: Modelling business with compassion,The conglomerate has continued at full speed for 142 years with a focus on operating with kindness.,BUSINESS,8 Dec 2020
These Gas-Station Entrepreneurs Favored Food Over Fuel and Got Rich,Two brothers who became billionaires in Britain by focusing on food over fuel at gas stations are looking to roll out that model globally in the hope of finding broader success.,BUSINESS,8 Dec 2020
Deduction incentives to be reviewed,"The Finance Ministry wants to reform the tax structure by revising the large number of deduction incentives, arriving at a more appropriate level.",BUSINESS,8 Dec 2020
Recovery unlikely until 2022,"Thailand's economy is forecast for clear recovery momentum in 2022 as domestic demand will remain weak in 2021, says CIMB Thai Bank (CIMBT).",BUSINESS,8 Dec 2020
Firms leery of draft for satellite slots,A draft plan for the allocation of rights to use satellite orbital slots has come under fire for several loopholes that some potential bidders said make them reluctant to join the bids.,BUSINESS,8 Dec 2020
Post-pandemic accounting changes,"Listed companies need to study how their financial statements will be affected when Covid-19 relief measures for accounting rules expire at the end of this year, according to PwC Thailand.",BUSINESS,8 Dec 2020
Mos Burger eyes 90 branches by 2024,"Japanese hamburger chain Mos Burger (Thailand) Co plans to expand over four years, aiming to grow its network to more than 90 branches by 2024 from 16 at the end of this year.",BUSINESS,8 Dec 2020
Current account still healthy,"Thailand's current account surplus is set to shrink in 2020 before recovering gradually through 2021. In the period from January to August, the cumulative current account balance shrank by 38.2% year-on-year as the services account proved a more significant drag than we had anticipated.",BUSINESS,8 Dec 2020
Ban Bang Rong touts self-sufficiency,"Phuket has been ravaged by the impact of the pandemic on tourism, as foreign visitors accounted for 90% of tourism revenue in the resort province.",BUSINESS,8 Dec 2020
China exports surge by forecast-beating 21.1% in November,"China's exports rose in November at their fastest pace in almost three years, official figures showed Monday, as a surge in demand in key markets ahead of the festive period also helped the country post a record trade surplus.",BUSINESS,7 Dec 2020
Giant vertical farm opens in Denmark,"TAASTRUP, Denmark: A purple glow illuminates stacked boxes where lettuce, herbs and kale will soon be sprouting at one of Europe's biggest ""vertical farms"" which has just opened in a warehouse in an industrial zone in Copenhagen.",BUSINESS,7 Dec 2020
"For Dolce & Gabbana, no crying over crisis, be inventive","MILAN - The coronavirus crisis has upended the norms of the fashion world, but Italian designers Domenico Dolce and Stefano Gabbana believe it has spurred them to be more inventive and resourceful.",BUSINESS,7 Dec 2020
Airbnb to increase IPO price: report,"WASHINGTON: Home-sharing giant Airbnb, which is scheduled to go public this week, will significantly raise its IPO price, valuing the group at more than $40 billion, the Wall Street Journal reported Sunday.",BUSINESS,7 Dec 2020
Recovery unlikely until 2022,"Thailand's economy is forecast for clear recovery momentum in 2022 as domestic demand will remain weak in 2021, says CIMB Thai Bank (CIMBT).",BUSINESS,8 Dec 2020
Firms leery of draft for satellite slots,A draft plan for the allocation of rights to use satellite orbital slots has come under fire for several loopholes that some potential bidders said make them reluctant to join the bids.,BUSINESS,8 Dec 2020
Post-pandemic accounting changes,"Listed companies need to study how their financial statements will be affected when Covid-19 relief measures for accounting rules expire at the end of this year, according to PwC Thailand.",BUSINESS,8 Dec 2020
Mos Burger eyes 90 branches by 2024,"Japanese hamburger chain Mos Burger (Thailand) Co plans to expand over four years, aiming to grow its network to more than 90 branches by 2024 from 16 at the end of this year.",BUSINESS,8 Dec 2020
Current account still healthy,"Thailand's current account surplus is set to shrink in 2020 before recovering gradually through 2021. In the period from January to August, the cumulative current account balance shrank by 38.2% year-on-year as the services account proved a more significant drag than we had anticipated.",BUSINESS,8 Dec 2020
Ban Bang Rong touts self-sufficiency,"Phuket has been ravaged by the impact of the pandemic on tourism, as foreign visitors accounted for 90% of tourism revenue in the resort province.",BUSINESS,8 Dec 2020
China exports surge by forecast-beating 21.1% in November,"China's exports rose in November at their fastest pace in almost three years, official figures showed Monday, as a surge in demand in key markets ahead of the festive period also helped the country post a record trade surplus.",BUSINESS,7 Dec 2020
Giant vertical farm opens in Denmark,"TAASTRUP, Denmark: A purple glow illuminates stacked boxes where lettuce, herbs and kale will soon be sprouting at one of Europe's biggest ""vertical farms"" which has just opened in a warehouse in an industrial zone in Copenhagen.",BUSINESS,7 Dec 2020
"For Dolce & Gabbana, no crying over crisis, be inventive","MILAN - The coronavirus crisis has upended the norms of the fashion world, but Italian designers Domenico Dolce and Stefano Gabbana believe it has spurred them to be more inventive and resourceful.",BUSINESS,7 Dec 2020
Airbnb to increase IPO price: report,"WASHINGTON: Home-sharing giant Airbnb, which is scheduled to go public this week, will significantly raise its IPO price, valuing the group at more than $40 billion, the Wall Street Journal reported Sunday.",BUSINESS,7 Dec 2020
Projecting success begins with empowering people,"The meaning of success can change depending on our situation and at what stage of life we’re in. Despite the individual differences, we all can agree on one thing – we all want to project our success through our business or careers.",BUSINESS,7 Dec 2020
Pressing the mute button,"Government stimulus measures may have a limited effect, but they are pushing Thais towards cashless payment.",BUSINESS,7 Dec 2020
NSTDA highlights promising advances,"Covid-19 vaccines, rejuvenating drugs, Internet of Health Things (IoHT), vision communication and environmentally-friendly materials are among major technologies that could affect public and business sectors in the years to come, says the National Science Technology Development Agency (NSTDA).",BUSINESS,7 Dec 2020
Big Tech's Auto Dreams Are Stuck in the Slow Lane,Big tech was going to revolutionize the car market. Then reality happened.,BUSINESS,7 Dec 2020
Some U.S. Cadillac Dealers to Exit Brand Rather Than Sell Electric Cars,"About 150 General Motors Co. dealers have decided to part ways with Cadillac, rather than invest in costly upgrades required to sell electric cars, according to people familiar with the plans, indicating some retailers are skeptical about pivoting to battery-powered vehicles.",BUSINESS,7 Dec 2020
FTI urges reduced social security minimum,The Federation of Thai Industries (FTI) has suggested the Labour Ministry further help employers and workers by reducing their mandatory contributions to the Social Security Fund to 1% for three months next year in a bid to maintain employment and stimulate spending.,BUSINESS,7 Dec 2020
CPN bags corporate excellence awards,Retail property developer Central Pattana Plc (CPN) has received two Thailand Corporate Excellence Awards 2020 for a second year in marketing and financial management.,BUSINESS,7 Dec 2020
Excise opts for blockchain,The Excise Department aims to improve the efficiency of revenue collection rather than raise taxes to enhance the revenue outlook amid Thailand's gradual economic recovery.,BUSINESS,7 Dec 2020
NIA focuses on regional deep-tech startup plan,"The National Innovation Agency (NIA) is gearing up for the development of deep-tech startups in regional areas, with the aim to groom 100 startups in this field over three years.",BUSINESS,7 Dec 2020
Storytel takes local route,Audiobook and e-book streaming service Storytel has officially launched in Thailand by adding a library of Thai-language books to its platform.,BUSINESS,7 Dec 2020
Projecting success begins with empowering people,"The meaning of success can change depending on our situation and at what stage of life we’re in. Despite the individual differences, we all can agree on one thing – we all want to project our success through our business or careers.",BUSINESS,7 Dec 2020
Pressing the mute button,"Government stimulus measures may have a limited effect, but they are pushing Thais towards cashless payment.",BUSINESS,7 Dec 2020
NSTDA highlights promising advances,"Covid-19 vaccines, rejuvenating drugs, Internet of Health Things (IoHT), vision communication and environmentally-friendly materials are among major technologies that could affect public and business sectors in the years to come, says the National Science Technology Development Agency (NSTDA).",BUSINESS,7 Dec 2020
Big Tech's Auto Dreams Are Stuck in the Slow Lane,Big tech was going to revolutionize the car market. Then reality happened.,BUSINESS,7 Dec 2020
Some U.S. Cadillac Dealers to Exit Brand Rather Than Sell Electric Cars,"About 150 General Motors Co. dealers have decided to part ways with Cadillac, rather than invest in costly upgrades required to sell electric cars, according to people familiar with the plans, indicating some retailers are skeptical about pivoting to battery-powered vehicles.",BUSINESS,7 Dec 2020
FTI urges reduced social security minimum,The Federation of Thai Industries (FTI) has suggested the Labour Ministry further help employers and workers by reducing their mandatory contributions to the Social Security Fund to 1% for three months next year in a bid to maintain employment and stimulate spending.,BUSINESS,7 Dec 2020
CPN bags corporate excellence awards,Retail property developer Central Pattana Plc (CPN) has received two Thailand Corporate Excellence Awards 2020 for a second year in marketing and financial management.,BUSINESS,7 Dec 2020
